Input_SMILES,Predicted_SMILES,Input_Groups,Predicted_Groups
CCCCNC(=O)NN,NC(=O)c1ccccc1,NC,"NC,c1ccccc1"
NC(=O)c1cnccn1,NC(=O)Nc1cccnc1,NC,NC
O=C(NCCO)c1cccnc1,O=C(O)c1ccccc1,NC,c1ccccc1
NC(=O)OCCCc1ccccc1,NC(=O)c1ccccc1c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
O=C(NO)c1ccccc1,O=C(O)c1ccccc1,"NC,c1ccccc1",c1ccccc1
COc1ccc(cc1)C(CC(C)C)C2CCCCN2,COc1ccc(cc1)C(C(C)C)CC,"NC,c1ccccc1",c1ccccc1
CNC(=O)CCc1ccccc1,CNC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
Clc1cc(Cl)c(Cl)cc1Cl,Clc1ccc(Cl)c(Cl)c1,c1ccccc1,c1ccccc1
O=C(O)COc1ccc(Br)cc1,O=C(O)c1ccc(Cl)cc1,c1ccccc1,c1ccccc1
CCOC(=O)CCCCCn1nnc2ccccc21,NS(=O)c1ccccc1c1ccccc1,c1ccccc1,c1ccccc1
O=C(O)c1ccccc1I,O=C(O)c1ccccc1,c1ccccc1,c1ccccc1
Clc1cc(Cl)nc(Cl)c1,Clc1ccc(Cl)c(Cl)c1,No group,c1ccccc1
COc1cc(Cl)c(Cl)cc1Cl,Clc1ccc(Cl)c(Cl)c1,c1ccccc1,c1ccccc1
CN(C)C(=O)C=Cc1ccccc1,C(C)C(=O)C=Cc1ccccc1,"NC,C=C,C=C(C=O),c1ccccc1","C=C,C=C(C=O),c1ccccc1"
CCCNC(=O)c1ccccc1,NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
O=N(=O)c1cc(Cl)c(Cl)cc1,O=S(O)c1ccc(Cl)c(Cl)c1,"Nc,c1ccccc1",c1ccccc1
NC(=O)Oc1ccccc1,NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
COc1ccccc1Cl,Brc1ccccc1,c1ccccc1,c1ccccc1
NC(=O)c1ccccc1O,NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
NC(=O)CCCCCn1nnc2ccccc21,CNC(=O)c1ccccc1c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
CCOC(=O)c1ccccc1,NS(=O)c1ccccc1,c1ccccc1,c1ccccc1
Clc1ccc(Br)cc1,Cc1ccc(Cl)cc1,c1ccccc1,c1ccccc1
N#Cc1ncccn1,N#Cc1cccnc1,No group,No group
CNC(=S)NCc1ccccc1,NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
COC(=O)Nc1ccc(OC)cc1,NS(=O)c1ccc(Cl)cc1,"NC,c1ccccc1",c1ccccc1
CCCC(=O)Nc1ccccc1,NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
CON(C)C(=O)Nc1ccccc1,CN(C)C(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
O=C(O)Cc1ccccc1I,O=C(O)c1ccccc1,c1ccccc1,c1ccccc1
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1SC,COc1ccc(Cc2cnc(N)nc2N)c(Cl)c1OC,"Nc,c1ccccc1","Nc,c1ccccc1"
Cc1ccc(Cl)cc1O,Cc1ccc(Cl)cc1,c1ccccc1,c1ccccc1
CCc1ccc(OC(C)=O)cc1,COc1ccc(C(C)=O)cc1,c1ccccc1,c1ccccc1
COc1ccc(Cl)cc1,Cc1ccc(Cl)cc1,c1ccccc1,c1ccccc1
O=C(CO)NCc1ccccc1,O=C(O)c1ccccc1,"NC,c1ccccc1",c1ccccc1
O=C1C=C(N2CCCC2)CN1c1ccc(Cl)cc1,O=C=C(c2ccccc2)C1(Cl)cc1,"NC,C=C,C=C(C=O),c1ccccc1","C=C,c1ccccc1"
O=S(=O)(CCl)c1ccccc1,O=S(=O)(O)c1ccccc1,c1ccccc1,c1ccccc1
CC(=O)Nc1ccc(O)c(C)c1,CC(=O)Nc1ccc(Cl)c(O)c1,"NC,c1ccccc1","NC,c1ccccc1"
COc1cc(Cl)c(Cl)cc1O,Clc1ccc(Cl)c(Cl)c1,c1ccccc1,c1ccccc1
CCCOC(=O)c1ccccc1,CCOC(=O)c1ccccc1,c1ccccc1,c1ccccc1
NC1CC1c1ccccc1,NCc1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
OC1(CCN(CC1)C(c2ccccc2)c3ccccn3)c4ccccc4,CN(CC1(CC1)C(c2ccccc2)c3ccccc3)c4ccccc4,"NC,c1ccccc1","NC,c1ccccc1"
CS(=O)(=O)Nc1ccc(cc1)S(=O)(=O)N,NS(=O)(=O)c1ccc(cc1)S(=O)(=O)N,"Nc,c1ccccc1",c1ccccc1
CC(=O)NC(Cc1ccccc1)C(=O)O,CC(=O)N(Cc1ccccc1)C(=O)NC,"NC,c1ccccc1","NC,c1ccccc1"
NS(=O)(=O)Nc1ccc(cc1)S(=O)(=O)N,NS(=O)(=O)c1ccc(cc1)S(=O)(=O)N,"Nc,c1ccccc1",c1ccccc1
O=C1C=C(Oc2c1cccc2c3ccccc3)N4CCOCC4,O=C(C(c2ccccc2)c2ccccc2)c3ccccc3,"NC,c1ccccc1",c1ccccc1
CC(=O)Nc1ccc(F)cc1,CC(=O)Nc1ccc(Cl)cc1,"NC,c1ccccc1","NC,c1ccccc1"
NS(=O)(=O)c1ccc(cc1)N2C(=O)CCC2=O,NS(=O)(=O)c1ccc(cc1)S(=O)OO,"NC,c1ccccc1",c1ccccc1
O=C(O)Cc1ccccc1F,O=C(O)c1ccccc1,c1ccccc1,c1ccccc1
CON(C)C(=O)Nc1ccc(F)cc1,CN(C)C(=O)Nc1ccc(Cl)cc1,"NC,c1ccccc1","NC,c1ccccc1"
OC1(CCN(CC1)C(c2ccccc2)c3ccccc3)c4cccs4,CN(CC1(CC1)C(c2ccccc2)c3ccccc3)c4ccccc4,"NC,c1ccccc1","NC,c1ccccc1"
CCOc1ccccc1NC(=O)OC,NCNC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
Cc1ccc(CCN)cc1,Cc1ccc(Cl)cc1,"NC,c1ccccc1",c1ccccc1
CNC(=O)Oc1cccc(OC)c1,NC(=O)c1ccc(Cl)cc1,"NC,c1ccccc1","NC,c1ccccc1"
O=C(O)C=Cc1ccc(O)cc1,O=C(O)C=Cc1ccc(Cl)cc1,"C=C,C=C(C=O),c1ccccc1","C=C,C=C(C=O),c1ccccc1"
CCNC(=O)c1ccc(C)cc1,CNC(=O)c1ccc(C)cc1,"NC,c1ccccc1","NC,c1ccccc1"
COc1ccc(Br)cc1,Cc1ccc(Cl)cc1,c1ccccc1,c1ccccc1
Fc1ccc(F)cc1,Cc1ccc(Cl)cc1,c1ccccc1,c1ccccc1
NNC(=O)c1ccc(I)cc1,NS(=O)Nc1ccc(Cl)cc1,"NC,c1ccccc1","Nc,c1ccccc1"
C1CN(CCN1)c2cccc3ccccc23,Cc1ccc(CC1)c2ccccc2,"NC,c1ccccc1","C=C,c1ccccc1"
Nc1ccc(I)cc1,Nc1ccc(Cl)cc1,"Nc,c1ccccc1","Nc,c1ccccc1"
CSc1ccc(C(N)=S)cc1,Nc1ccc(C(N)=O)cc1,"NC,c1ccccc1","NC,c1ccccc1"
NS(=O)(=O)c1ccc(cc1)c2oc(nc2)C3CCC3,NS(=O)(=O)c1ccc(cc1)c2ccc(nn2)c3ccccc3,c1ccccc1,c1ccccc1
NC(=O)c1ccccn1,NC(=O)c1ccccc1,NC,"NC,c1ccccc1"
CCNC(=O)CC1CCCCC1,NC(=O)c1ccccc1,NC,"NC,c1ccccc1"
Cc1ccc(CN)cc1,Cc1ccc(Cl)cc1,"NC,c1ccccc1",c1ccccc1
OCCCCCn1nc2ccccc2n1,CCCCCCCCCc1ccccc1,c1ccccc1,c1ccccc1
NC(=O)c1ccc(N)nc1,NC(=O)c1ccc(Cl)cc1,NC,"NC,c1ccccc1"
CCN1CCCCCC1=O,NCc1ccccc1O,NC,"NC,c1ccccc1"
NCCC(N)C(=O)O,N(N)C(=O)c1ccccc1,NC,"NC,c1ccccc1"
COc1ccccc1CC(N2CCNCC2)c3ccccc3,CNC(c2ccccc2)c3ccccc3,"NC,c1ccccc1","NC,c1ccccc1"
CNC(=O)OCc1ccccc1,NS(=O)c1ccccc1,"NC,c1ccccc1",c1ccccc1
Oc1cc(Cl)cc(Cl)c1,Clc1ccc(Cl)c(Cl)c1,c1ccccc1,c1ccccc1
COc1ccc(CC(C)N)cc1OC,COc1ccc(C(C)C)cc1,"NC,c1ccccc1",c1ccccc1
OC(=O)c1ccc(O)cc1O,NS(=O)c1ccc(O)cc1,c1ccccc1,c1ccccc1
Nc1ccc(C(=O)O)cc1,COc1ccc(C(=O)O)cc1,"Nc,c1ccccc1",c1ccccc1
CCOC(=O)c1ccc(O)cc1,NS(=O)c1ccc(O)cc1,c1ccccc1,c1ccccc1
Cc1ccc(-c2ccccc2)cc1,Clc1ccc(c2ccccc2)cc1,c1ccccc1,c1ccccc1
CNC(=O)Oc1ccccc1I,NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
O=C(O)c1ccncc1,O=C(O)c1ccccc1,No group,c1ccccc1
Clc1cc(Cl)cc(Cl)c1,Clc1ccc(Cl)c(Cl)c1,c1ccccc1,c1ccccc1
NNC(=O)NCc1ccccc1,NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
Brc1cc(Br)cc(Br)c1,COCc1c(Cl)c(Cl)c1,c1ccccc1,C=C
CC(C)CC(=O)OCc1ccccc1,CC(C)C(O)c1ccccc1,c1ccccc1,c1ccccc1
NC(=O)Nc1ccccc1,NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
CCNC(=O)Cc1ccccc1,NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
CC(O)c1ccccc1,CC(=O)c1ccccc1,c1ccccc1,c1ccccc1
CN(C)C(=O)OCc1ccc(Br)cc1,CN(C)C(=O)Nc1ccc(Cl)cc1,"NC,c1ccccc1","NC,c1ccccc1"
Cc1cccc(c1)n2cc(nn2)c3ccc(s3)S(=O)(=O)N,COc1ccc(cc1)S(C)c3ccc(cc3)S(=O)(=O)N,c1ccccc1,c1ccccc1
O=C(O)CCc1ccccc1,O=C(O)c1ccccc1,c1ccccc1,c1ccccc1
CN(C)C(=O)OCCCc1cccnc1,C(C)C(=O)NCc1ccccc1,NC,"NC,c1ccccc1"
NC(=S)Nc1ccccc1,NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
CN(C)CC(=O)NCc1ccccc1,C(C)C(=O)c1ccccc1,"NC,c1ccccc1",c1ccccc1
O=C(O)c1cc(O)cc(O)c1,O=C(O)c1ccc(Cl)c(O)c1,c1ccccc1,c1ccccc1
O=C(O)COc1ccc(O)cc1,O=C(O)c1ccc(Cl)cc1,c1ccccc1,c1ccccc1
NC(=O)OCc1ccccc1,NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
Cc1ccc(cc1)c2cn(nn2)c3ccc(cc3)S(=O)(=O)N,COc1ccc(cc1)S(C)c3ccc(cc3)S(=O)(=O)N,c1ccccc1,c1ccccc1
Cc1ccc(cc1)C2(O)CCN(CC2)C(c3ccccc3)c4ccccc4,COc1ccc(cc1)C(C)C(C)C(=O)c4ccccc4,"NC,c1ccccc1",c1ccccc1
CC(=O)NNC(=O)Nc1ccc(Br)cc1,CC(=O)NC(=O)c1ccc(Cl)cc1,"NC,c1ccccc1","NC,c1ccccc1"
NC(=O)Nc1cccc(Br)c1,NS(=O)c1ccc(Cl)cc1,"NC,c1ccccc1",c1ccccc1
Cc1ccc(Br)cc1F,Cc1ccc(Cl)cc1,c1ccccc1,c1ccccc1
O=C(O)COc1ccc(Cl)cc1Cl,O=C(O)c1ccc(Cl)cc1,c1ccccc1,c1ccccc1
COc1ccc(CCCC(=O)O)cc1,COc1ccc(C(=O)O)cc1,c1ccccc1,c1ccccc1
COc1c(Cl)cc(Cl)cc1Cl,Clc1ccc(Cl)c(Cl)c1,c1ccccc1,c1ccccc1
C(c1ccccc1)c2ccccc2,C(Cc1ccccc1)c2ccccc2,c1ccccc1,c1ccccc1
COC(=O)Nc1ccccc1OC,NS(=O)c1ccccc1,"NC,c1ccccc1",c1ccccc1
Nc1ccc(C(=O)O)cc1N,COc1ccc(C(=O)O)cc1,"Nc,c1ccccc1",c1ccccc1
CSc1ccc(SC)nn1,Nc1ccc(Cl)cc1,No group,"Nc,c1ccccc1"
CC(=O)Nc1ccc(I)cc1,CC(=O)Nc1ccc(Cl)cc1,"NC,c1ccccc1","NC,c1ccccc1"
CNC(=O)OCc1ccc(Cl)cc1,NS(=O)c1ccc(Cl)cc1,"NC,c1ccccc1",c1ccccc1
O=C(O)COc1ccc(I)cc1,O=C(O)c1ccc(Cl)cc1,c1ccccc1,c1ccccc1
CN(C)C(=O)OCc1ccc(I)cc1,C(C)C(=O)Nc1ccc(Cl)cc1,"NC,c1ccccc1","NC,c1ccccc1"
CCNC(=O)c1cccnc1,NC(=O)c1ccccc1,NC,"NC,c1ccccc1"
NC(=O)c1ccc(O)cc1,CNC(=O)c1ccc(O)cc1,"NC,c1ccccc1","NC,c1ccccc1"
Fc1cncc(Cl)n1,ClCc1cc(Cl)c1,No group,C=C
CNC(=O)Oc1ccccc1SC,CNC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
Nc1c(Cl)cc(Cl)cc1Cl,Nc1ccc(Cl)c(Cl)c1,"Nc,c1ccccc1","Nc,c1ccccc1"
CN(C)C(=S)NCc1ccccc1,C(C)C(=O)c1ccccc1,"NC,c1ccccc1",c1ccccc1
CCCOC(=O)c1ccc(O)cc1,NS(=O)c1ccc(O)cc1,c1ccccc1,c1ccccc1
COC(=O)c1ccc(O)cc1O,NS(=O)c1ccc(O)cc1,c1ccccc1,c1ccccc1
CCOC(=O)\C=C\c1ccc(O)cc1,CC(=O)C=C\c1ccc(O)cc1,"C=C,C=C(C=O),c1ccccc1","C=C,C=C(C=O),c1ccccc1"
CCCOC(=O)c1ccc(N)cc1,CC(=O)c1ccc(Cl)cc1,"Nc,c1ccccc1",c1ccccc1
CON(C)C(=O)Nc1cccc(F)c1,CN(C)C(=O)Nc1ccc(Cl)cc1,"NC,c1ccccc1","NC,c1ccccc1"
COC(=O)c1ccc(Cl)cc1,NS(=O)c1ccc(O)cc1,c1ccccc1,c1ccccc1
OC(=O)c1ccc(O)cc1,NS(=O)c1ccc(O)cc1,c1ccccc1,c1ccccc1
Cc1cc(Cl)c(C(C)C)c(Cl)c1Cl,COc1ccc(O)cc(C(C)C)c(Cl)c1,c1ccccc1,C=C
CNC(=O)Oc1ccc(Br)cc1,NC(=O)c1ccc(Cl)cc1,"NC,c1ccccc1","NC,c1ccccc1"
NNC(=O)c1ccncc1,CCOC(=O)c1ccccc1,NC,c1ccccc1
CCN(CC)C(=O)OCCCc1ccccn1,CC(CC)C(=O)Oc1ccccc1,NC,c1ccccc1
CC(=O)Nc1c(F)cccc1F,CC(=O)Nc1ccc(Cl)cccc1CF,"NC,c1ccccc1","NC,C=C"
CC(=O)N(C)C(=O)COC(=O)c1ccccc1,CC(=O)N(C)C(=O)NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
Cc1ccc(Cl)cc1Cl,Cc1ccc(Cl)cc1,c1ccccc1,c1ccccc1
O=C(O)c1ccccc1Br,O=C(O)c1ccccc1,c1ccccc1,c1ccccc1
CCN(CC)C(=O)COC(=O)c1ccccc1O,CN(CC)C(=O)NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
CNC(=O)Oc1ccccc1Br,CNC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
O=C(O)Cc1ccc(Br)cc1,O=C(O)c1ccc(Cl)cc1,c1ccccc1,c1ccccc1
NS(=O)(=O)Oc1ccc(NC(=O)Nc2ccc(cc2)c3ccccc3)cc1,NS(=O)(=O)c1ccc(NC(=O)Nc2ccc(cc2)S)cc1,"NC,c1ccccc1","NC,c1ccccc1"
CN(C)C(=O)CCOC(=O)c1ccccc1,C(C)C(=O)NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
CNC(=O)Oc1ccccc1,CNC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
CCCOC(=O)c1ccccc1Cl,CNC(=O)c1ccccc1,c1ccccc1,"NC,c1ccccc1"
NC(=O)c1c(Br)cccc1Br,CNC(=O)c1ccc(F)cccc1CF,"NC,c1ccccc1","NC,C=C,C=C(C=O)"
NNC(=O)c1ccccc1O,CNC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
NC(=O)c1ccc(C(F)(F)F)cc1,CNC(=O)c1ccc(C(F)(F)F)cc1,"NC,c1ccccc1","NC,c1ccccc1"
CC(=O)Nc1cccc(Cl)c1,CC(=O)c1ccc(Cl)cc1,"NC,c1ccccc1",c1ccccc1
O=C(O)Cn1cccc1,O=C(O)c1ccccc1,No group,c1ccccc1
COC(=O)Nc1cccc(F)c1,NS(=O)c1ccc(Cl)cc1,"NC,c1ccccc1",c1ccccc1
COC(=O)Nc1ccc(F)cc1,NC(=O)c1ccc(Cl)cc1,"NC,c1ccccc1","NC,c1ccccc1"
NC(N)=Nc1ccccc1,CN(Cc1ccccc1)NN,"NC,c1ccccc1","NC,c1ccccc1"
COC(=O)COc1ccccc1,NS(=O)c1ccccc1,c1ccccc1,c1ccccc1
CN(C)C(=O)c1ccccc1,C(C)C(=O)c1ccccc1,"NC,c1ccccc1",c1ccccc1
OCc1ccc(Cl)c(Cl)c1,Clc1ccc(Cl)c(Cl)c1,c1ccccc1,c1ccccc1
COC(OC)OC,N(O)c1ccccc1,No group,"Nc,c1ccccc1"
O=C(O)CCCCCCc1ccccc1,O=C(O)c1ccccc1c1ccccc1,c1ccccc1,c1ccccc1
ONC(=O)c1ccccc1,CNC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
NC(=O)c1ccccc1N,NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
CCOC(=O)Cc1ccccc1,NS(=O)c1ccccc1,c1ccccc1,c1ccccc1
OC1(CCN(CC1)C(c2ccccc2)c3ccccc3)c4ccccc4F,COc1ccc(C(CC1)C(c2ccccc2)c3ccccc3)c4ccccc4,"NC,c1ccccc1","C=C,c1ccccc1"
NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,NS(=O)(=O)c1ccc(F)c(F)c(F)c(F)c1,c1ccccc1,"C=C,CCS"
NC(=O)COc1ccccc1,CCOC(=O)c1ccccc1,"NC,c1ccccc1",c1ccccc1
Clc1ccc(Cl)nn1,Clc1ccc(Cl)cc1,No group,c1ccccc1
CNC(=O)Oc1ccc(Cl)cc1,CNC(=O)c1ccc(Cl)cc1,"NC,c1ccccc1","NC,c1ccccc1"
COC(=O)Nc1cccc(C)c1,CNC(=O)c1ccc(C)cc1,"NC,c1ccccc1","NC,c1ccccc1"
NC(=O)Nc1ccc(Cl)cc1,CNC(=O)c1ccc(Cl)cc1,"NC,c1ccccc1","NC,c1ccccc1"
CNC(=O)Nc1ccccc1,NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
O=C(O)c1ccccc1Cl,O=C(O)c1ccccc1,c1ccccc1,c1ccccc1
Cc1ccc(N)cc1C,COc1ccc(Cl)cc1,"Nc,c1ccccc1",c1ccccc1
CC(C)c1cccc(-c2ccccc2)c1,CC(C)c1ccc(c2ccccc2)cc1,c1ccccc1,c1ccccc1
COc1ccc(Cc2cnc(N)nc2N)cc1I,COc1ccc(Cc2cnc(N)nc2N)cc1,"Nc,c1ccccc1","Nc,c1ccccc1"
CNC(=O)c1cccnc1,CCOC(=O)c1ccccc1,NC,c1ccccc1
NNC(=O)c1ccc(cc1)S(=O)(=O)N,CNC(=O)c1ccc(cc1)S(=O)(=O)N,"NC,c1ccccc1","NC,c1ccccc1"
COc1ccc(Cl)nn1,Cc1ccc(Cl)cc1,No group,c1ccccc1
ONC(=O)Cc1ccccc1,NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
CNC(=O)Oc1cccc(C)c1C,CNC(=O)c1ccc(C)cc1,"NC,c1ccccc1","NC,c1ccccc1"
Nc1ccc(C(=O)O)cc1F,COc1ccc(C(=O)O)cc1,"Nc,c1ccccc1",c1ccccc1
CC(O)COc1ccccc1,CC(O)c1ccccc1,c1ccccc1,c1ccccc1
Oc1ccc(N=C=S)cc1,COc1ccc(C)NN(NN)cc1,"Nc,c1ccccc1",No group
COC(=O)Cc1ccc(O)cc1,NS(=O)c1ccc(Cl)cc1,c1ccccc1,c1ccccc1
OC1(CCN(CC1)C(c2ccccc2)c3ccccc3)c4ccccn4,COc1ccc(C(CC1)C(c2ccccc2)c3ccccc3)c4ccccc4,"NC,c1ccccc1","C=C,c1ccccc1"
CNC(=O)Oc1cccc(Cl)c1Cl,CNC(=O)c1ccc(Cl)cc1,"NC,c1ccccc1","NC,c1ccccc1"
CN(C)C(=O)Nc1ccc(Br)cc1,CN(C)C(=O)Nc1ccc(Cl)cc1,"NC,c1ccccc1","NC,c1ccccc1"
NS(=O)(=O)c1ccccc1Br,NS(=O)(=O)c1cnccc1,c1ccccc1,No group
O=C(O)c1ccc(CCl)cc1,O=C(O)c1ccc(Cl)cc1,c1ccccc1,c1ccccc1
O=C(O)c1c(F)cccc1F,O=C(O)c1ccc(F)cccc1F,c1ccccc1,"C=C,C=C(C=O)"
Cc1cccc(NC(=O)\C=C\c2ccc(O)cc2)c1,COc1ccc(NC(=O)C=C\c2ccc(O)cc2)cc1,"NC,C=C,C=C(C=O),c1ccccc1","NC,C=C,C=C(C=O),c1ccccc1"
CCN(CC)CC(=O)Nc1ccccc1,CC(CC)C(=O)c1ccccc1,"NC,c1ccccc1",c1ccccc1
NC1CC1c2ccccc2,NCc1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
CS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,NS(=O)(=O)c1ccc(F)c(F)c(F)c(F)c1F,c1ccccc1,"C=C,CCS"
Cc1ccc(cc1)S(=O)(=O)N,COc1ccc(cc1)S(=O)(=O)N,c1ccccc1,c1ccccc1
COc1ccc(C(=O)OCCN(C)C)cc1,COc1ccc(C(O)N(C)C)cc1,"NC,c1ccccc1","NC,c1ccccc1"
O=C(O)Cc1cccc(C(F)(F)F)c1,O=C(O)c1ccc(C(F)(F)F)cc1,c1ccccc1,c1ccccc1
Fc1ccccc1NC(=O)\C=C\c2ccccc2,ONCOC(=O)C=C\c2ccccc2,"NC,C=C,C=C(C=O),c1ccccc1","NC,C=C,C=C(C=O),c1ccccc1"
O=c1ssc2c1CCCC2,O=Sc1ccccc1,No group,c1ccccc1
CNC(=O)N(C)C(=O)Nc1cc(I)ccc1F,CC(=O)C(C)C(=O)Nc1ccc(Cl)cc1,"NC,c1ccccc1","NC,c1ccccc1"
NS(=O)(=O)NCc1ccc(cc1)S(=O)(=O)N,NS(=O)(=O)c1ccc(cc1)S(=O)(=O)N,"NC,c1ccccc1",c1ccccc1
COc1cc(Cl)cc(Cl)c1,Clc1ccc(Cl)c(Cl)c1,c1ccccc1,c1ccccc1
CN(C)C(=O)Oc1ccc(Cl)cc1,C(C)C(=O)Nc1ccc(Cl)cc1,"NC,c1ccccc1","NC,c1ccccc1"
CC(C)NNC(=O)c1ccncc1,CC(C)C(=O)c1ccccc1,NC,c1ccccc1
NC(=O)c1ccc(Cl)nn1,NC(=O)c1ccc(Cl)cc1,NC,"NC,c1ccccc1"
Cc1cc(Cl)cc(Cl)c1,Clc1ccc(Cl)c(Cl)c1,c1ccccc1,c1ccccc1
COC(=O)Nc1ccccc1F,NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
CN(Cc1cccc(Br)c1)N=O,COc1ccc(C(Cl)cc1)N=O,"NC,c1ccccc1","NC,C=C"
O=C(O)c1cccc(I)c1,O=C(O)c1ccc(O)cc1,c1ccccc1,c1ccccc1
NNC(=O)c1ccccc1Cl,CNC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
NC(=O)c1ccc(Cl)cc1,NC(=O)Nc1ccc(Cl)cc1,"NC,c1ccccc1","NC,c1ccccc1"
Clc1cc(Cl)c(-c2ccccc2)cc1Cl,Clc1ccc(Cl)c(c2ccccc2)c1,c1ccccc1,c1ccccc1
COc1cccc(N=C=S)c1,COc1ccc(C)C(N)cc1,"Nc,c1ccccc1","NC,C=C"
COc1ccc(N=C=S)cc1,COc1ccc(C)C(C)cc1,"Nc,c1ccccc1",C=C
O=C(O)C1CCNCC1,O=C(O)c1ccccc1,NC,c1ccccc1
Nc1c(Cl)c(Cl)cc(Cl)c1Cl,Nc1nc(Cl)c(Cl)c(Cl)c1,"Nc,c1ccccc1",Nc
NC(=S)c1ccc(Cl)cc1,NC(=O)N(cc1)cc1,"NC,c1ccccc1",NC
O=C(O)c1ccc(I)cc1,O=C(O)c1ccc(Cl)cc1,c1ccccc1,c1ccccc1
NC1CCc2ccccc2C1O,NCc1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
CNCCc1ccccc1,NCc1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
CCOC(=O)c1ccccc1O,CC(=O)c1ccccc1,c1ccccc1,c1ccccc1
CNC(=O)c1cc(Br)cc(C)c1O,NS(=O)c1ccc(C)c(C)c1,"NC,c1ccccc1",c1ccccc1
CNCCc1ccccn1,NCc1ccccc1,NC,"NC,c1ccccc1"
NC(=O)c1cc(-c2ccccc2)sc1Nc1ccccc1,CNC(=O)Nc1ccc(c2ccccc2)cc1,"NC,c1ccccc1","NC,c1ccccc1"
ONC(=O)\C=C\c1ccc(cc1)c2ccc(O)cc2,ONC(=O)C=C\c1ccc(cc1)S(cc2)cc2,"NC,C=C,C=C(C=O),c1ccccc1","NC,C=C,C=C(C=O),c1ccccc1"
COC(=O)Nc1ccccc1,NS(=O)c1ccccc1,"NC,c1ccccc1",c1ccccc1
O=P(O)(O)c1ccccc1,O=S(=O)(O)c1ccccc1,c1ccccc1,c1ccccc1
OC1(CCN(CC1)C(c2ccccc2)c3ccccc3)c4occc4,CN(CC1(CC1)C(c2ccccc2)c3ccccc3)c4ccccc4,"NC,c1ccccc1","NC,c1ccccc1"
Cc1ccc(OCCN(C)C)cc1,COc1ccc(C(C)C)cc1,"NC,c1ccccc1",c1ccccc1
O=C(O)Cc1ccc(I)cc1,O=C(O)Cc1ccc(Cl)cc1,c1ccccc1,c1ccccc1
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,O=C(O)c1ccc(Cl)c(Cl)c1,c1ccccc1,c1ccccc1
NC(=O)CCCc1ccccc1,CCOC(=O)c1ccccc1,"NC,c1ccccc1",c1ccccc1
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCc1ccccc1,COc1ccc(Cc2cnc(N)nc2N)c(OC)c1OC,"Nc,c1ccccc1","Nc,c1ccccc1"
CC(C)c1ccc(N)cc1,CC(C)C(cc1)cc1,"Nc,c1ccccc1",C=C
NC(=O)Nc1ccccc1F,NC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
CCOC(=O)Nc1ccccc1,CNC(=O)c1ccccc1,"NC,c1ccccc1","NC,c1ccccc1"
CCC(C)NC(=O)C=C(Br)c1ccccc1,C(C)C(=O)C=C(C)c1ccccc1,"NC,C=C,C=C(C=O),c1ccccc1","C=C,C=C(C=O),c1ccccc1"
